{3AB69A32-A2CB-42E3-98C7-001D9847822B},102000,2014-04-15 00:00,PE9 3QN,F,N,L,THE WALLED GARDEN, 31,,TIXOVER GRANGE,TIXOVER,STAMFORD,RUTLAND,A
{0224177C-E0BB-4C47-BF14-001F21BE844B},185000,2014-04-14 00:00,DA8 2HQ,T,N,F,24,,LAPWING CLOSE,,ERITH,BEXLEY,GREATER LONDON,A
{6EE53522-40DF-4C33-835A-001F25885164},249950,2014-04-10 00:00,HP3 9DT,T,N,F,8,,ORCHARD STREET,,HEMEL HEMPSTEAD,DACORUM,HERTFORDSHIRE,A
{BAB89DE8-4F08-4CAC-AD85-001FEF96D110},750000,2014-04-04 00:00,N1 3HU,F,N,L,176B,,SOUTHGATE ROAD,,LONDON,HACKNEY,GREATER LONDON,A
{9707906D-2436-436F-A9ED-00207C5CF2C3},175500,2014-04-16 00:00,OX16 3WS,T,N,F,163,,DELAPRE DRIVE,,BANBURY,CHERWELL,OXFORDSHIRE,A
{AF9FA8FD-05D3-4C54-BE6D-0020E3D76A98},198000,2014-04-25 00:00,PE19 6QU,T,N,F,10,,GATEKEEPER WALK,LITTLE PAXTON,ST NEOTS,HUNTINGDONSHIRE,CAMBRIDGESHIRE,A
{D3C70308-4510-47F6-B378-00215DF528CE},125000,2014-05-01 00:00,IP11 7EH,F,N,L,HOMEORR HOUSE,22,FELIX ROAD,,FELIXSTOWE,SUFFOLK COASTAL,SUFFOLK,A
{E7677DB9-A125-430E-A2EE-00232CD926C0},219000,2014-05-01 00:00,CW5 7DH,D,N,F,25,,BROWN AVENUE,,NANTWICH,CHESHIRE EAST,CHESHIRE EAST,A
{88D649E0-A853-4419-92BD-00234C801731},140000,2014-04-24 00:00,DL10 7HN,D,N,F,20,,STATION ROAD,BROMPTON ON SWALE,RICHMOND,RICHMONDSHIRE,NORTH YORKSHIRE,A
{3E79F4E9-39B9-4FFF-8739-0023DD2FD8D5},400000,2014-03-14 00:00,BS39 4BP,D,N,F,THE FIRS, 4,,POLICE LANE,PENSFORD,BRISTOL,BATH AND NORTH EAST SOMERSET,A
{10F90882-DC97-40BA-80BC-002436F0DBA2},175000,2014-05-22 00:00,HD3 3GZ,T,N,F,2,,BIRCHWOOD CLOSE,,HUDDERSFIELD,KIRKLEES,WEST YORKSHIRE,A
{CF7F6FDF-054D-43E1-B324-0026B3822DD6},495000,2014-05-23 00:00,NN4 6EA,D,N,F,1,,THE MULLIONS,WOOTTON,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A
{20D56546-1EB6-4FF8-89E1-002710487505},190000,2014-02-24 00:00,RG2 8AH,S,N,F,73,,STOCKTON ROAD,,READING,READING,READING,A
{D3E64F00-BE9B-434B-A63D-0028C1602ACE},159950,2014-04-17 00:00,GU12 6PA,F,N,L,REDGRAVE COURT,FLAT 12,STAR LANE,ASH,ALDERSHOT,GUILDFORD,SURREY,A
{A44EC404-C7A8-4248-820F-0028F014176A},179950,2014-05-02 00:00,CV32 6AD,T,N,F,6,,RIVER CLOSE,,LEAMINGTON SPA,WARWICK,WARWICKSHIRE,A
{1FBC9F12-C213-40FD-8813-002AEDB02659},315000,2014-04-11 00:00,BN11 2HE,T,N,F,8,,MALVERN CLOSE,,WORTHING,WORTHING,WEST SUSSEX,A
{6F881662-1095-4FA2-972E-002C34960D2C},275950,2014-04-25 00:00,OX5 1EH,S,N,F,25,,HAZEL CRESCENT,,KIDLINGTON,CHERWELL,OXFORDSHIRE,A
{82828EE1-14FC-4B96-BD1B-002EFCB6A7EF},200000,2014-03-28 00:00,DL10 5AG,S,N,F,3,,NEVILLE WALK,,RICHMOND,RICHMONDSHIRE,NORTH YORKSHIRE,A
{8E73CFD4-DD90-4653-A233-003163CB0431},347000,2014-04-30 00:00,CM24 8JX,S,N,F,13,,CLARENCE ROAD,,STANSTED,UTTLESFORD,ESSEX,A
{780AD6B3-340D-48F0-A922-0035234CBF69},181950,2014-04-25 00:00,CV3 1NA,T,Y,F,8,,AMELIA CRESCENT,,COVENTRY,COVENTRY,WEST MIDLANDS,A
{AF8AF37A-CA7B-45AE-B1B9-0035AD008449},246500,2014-04-28 00:00,HP1 3PJ,T,N,F,31,,SOMERIES ROAD,,HEMEL HEMPSTEAD,DACORUM,HERTFORDSHIRE,A
{6DD41CE0-7959-42D4-B6A0-00374F50942B},85000,2014-03-28 00:00,L12 9JZ,T,N,F,15,,NEWBURY WAY,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,A
{ADE87F98-6CE1-43CA-BFFD-00393E6378B6},295000,2014-03-19 00:00,DL7 0DH,D,N,F,TIREE,,,EAST COWTON,NORTHALLERTON,HAMBLETON,NORTH YORKSHIRE,A
